Entity,EntityDocumentsId,NewDocumentIndicator,RecordInsertDate
MANPUB,187,N,2022-10-30
MANPUB,188,N,2022-10-30
MANPUB,189,N,2022-10-30
MANPUB,190,N,2022-10-30
MANPUB,191,N,2022-10-30
MANPUB,192,N,2022-10-30
MANPUB,193,N,2022-10-30
MANPUB,194,N,2022-10-30
MANPUB,195,N,2022-10-30
MANPUB,196,N,2022-10-30
MANPUB,197,N,2022-10-30
MANPUB,198,N,2022-10-30
MANPUB,199,N,2022-10-30
MANPUB,200,N,2022-10-30
MANPUB,201,N,2022-10-30
MANPUB,202,N,2022-10-30
MANPUB,203,N,2022-10-30
MANPUB,204,N,2022-10-30
MANPUB,205,N,2022-10-30
MANPUB,206,N,2022-10-30
MANPUB,207,N,2022-10-30
MANPUB,208,N,2022-10-30
MANPUB,209,N,2022-10-30
MANPUB,210,N,2022-10-30
MANPUB,211,N,2022-10-30
MANPUB,212,N,2022-10-30
MANPUB,213,N,2022-10-30
MANPUB,214,N,2022-10-30
MANPUB,215,N,2022-10-30
MANPUB,216,N,2022-10-30
MANPUB,217,N,2022-10-30
MANPUB,218,N,2022-10-30
MANPUB,219,N,2022-10-30
MANPUB,220,N,2022-10-30
MANPUB,221,N,2022-10-30
MANPUB,222,N,2022-10-30
MANPUB,223,N,2022-10-30
MANPUB,224,N,2022-10-30
MANPUB,225,N,2022-10-30
MANPUB,226,N,2022-10-30
MANPUB,227,N,2022-10-30
MANPUB,228,N,2022-10-30
MANPUB,229,N,2022-10-30
MANPUB,230,N,2022-10-30
MANPUB,231,N,2022-10-30
MANPUB,232,N,2022-10-30
MANPUB,233,N,2022-10-30
MANPUB,234,N,2022-10-30
MANPUB,235,N,2022-10-30
MANPUB,236,N,2022-10-30
MANPUB,237,N,2022-10-30
MANPUB,238,N,2022-10-30
MANPUB,239,N,2022-10-30
MANPUB,240,N,2022-10-30
MANPUB,241,N,2022-10-30
MANPUB,242,N,2022-10-30
MANPUB,243,N,2022-10-30
MANPUB,244,N,2022-10-30
MANPUB,245,N,2022-10-30
MANPUB,246,N,2022-10-30
MANPUB,247,N,2022-10-30
MANPUB,248,N,2022-10-30
MANPUB,249,N,2022-10-30
MANPUB,250,N,2022-10-30
MANPUB,251,N,2022-10-30
MANPUB,252,N,2022-10-30
MANPUB,253,N,2022-10-30
MANPUB,254,N,2022-10-30
MANPUB,255,N,2022-10-30
MANPUB,256,N,2022-10-30
MANPUB,257,N,2022-10-30
MANPUB,258,N,2022-10-30
MANPUB,259,N,2022-10-30
MANPUB,260,N,2022-10-30
MANPUB,261,N,2022-10-30
MANPUB,262,N,2022-10-30
MANPUB,263,N,2022-10-30
MANPUB,264,N,2022-10-30
MANPUB,265,N,2022-10-30
MANPUB,266,N,2022-10-30
MANPUB,267,N,2022-10-30
MANPUB,268,N,2022-10-30
MANPUB,269,N,2022-10-30
MANPUB,270,N,2022-10-30
MANPUB,271,N,2022-10-30
MANPUB,272,N,2022-10-30
MANPUB,273,N,2022-10-30
MANPUB,274,N,2022-10-30
MANPUB,275,N,2022-10-30
MANPUB,276,N,2022-10-30
MANPUB,277,N,2022-10-30
MANPUB,278,N,2022-10-30
MANPUB,279,N,2022-10-30
MANPUB,280,N,2022-10-30
MANPUB,281,N,2022-10-30
MANPUB,282,N,2022-10-30
MANPUB,283,N,2022-10-30
MANPUB,284,N,2022-10-30
MANPUB,285,N,2022-10-30
MANPUB,286,N,2022-10-30
MANPUB,287,N,2022-10-30
MANPUB,288,N,2022-10-30
MANPUB,289,N,2022-10-30
MANPUB,290,N,2022-10-30
MANPUB,291,N,2022-10-30
MANPUB,292,N,2022-10-30
MANPUB,293,N,2022-10-30
MANPUB,294,N,2022-10-30
MANPUB,295,N,2022-10-30
MANPUB,296,N,2022-10-30
MANPUB,297,N,2022-10-30
MANPUB,298,N,2022-10-30
MANPUB,299,N,2022-10-30
MANPUB,300,N,2022-10-30
MANPUB,301,N,2022-10-30
MANPUB,302,N,2022-10-30
MANPUB,303,N,2022-10-30
MANPUB,304,N,2022-10-30
MANPUB,305,N,2022-10-30
MANPUB,306,N,2022-10-30
MANPUB,307,N,2022-10-30
MANPUB,308,N,2022-10-30
MANPUB,309,N,2022-10-30
MANPUB,310,N,2022-10-30
MANPUB,311,N,2022-10-30
MANPUB,312,N,2022-10-30
MANPUB,313,N,2022-10-30
MANPUB,314,N,2022-10-30
MANPUB,315,N,2022-10-30
MANPUB,316,N,2022-10-30
MANPUB,317,N,2022-10-30
MANPUB,318,N,2022-10-30
MANPUB,319,N,2022-10-30
